data,latitude,longitude,temperatura_c,precipitacao_mm,umidade_pct,radiacao_mj_m2,vento_kmh,std_temperatura_c,std_precipitacao_mm,std_umidade_pct,std_radiacao_mj_m2,std_vento_kmh
2026-07-19,-23.8,-46.8,18.87,0.939,72.286,14.979,16.115,2.396,3.029,7.618,3.901,3.043
2026-07-19,-23.8,-46.7,18.888,0.869,72.283,14.975,16.258,2.414,2.85,7.58,3.9,3.011
2026-07-19,-23.8,-46.6,18.81,0.85,72.68,15.291,16.034,2.43,2.766,8.032,4.058,3.144
2026-07-19,-23.8,-46.5,18.809,0.85,72.654,15.291,16.028,2.431,2.766,8.017,4.058,3.146
2026-07-19,-23.7,-46.8,18.97,0.906,71.448,14.995,15.976,2.505,2.985,8.275,3.939,3.117
2026-07-19,-23.7,-46.5,18.83,0.847,72.562,15.25,16.051,2.405,2.766,7.959,4.053,3.008
2026-07-19,-23.7,-46.4,18.813,0.848,72.655,15.261,16.102,2.389,2.766,7.843,4.037,3.13
2026-07-19,-23.6,-46.8,19.199,0.958,70.392,14.956,15.516,2.67,3.027,9.204,3.937,3.067
2026-07-19,-23.6,-46.4,19.145,0.341,69.489,16.016,15.302,2.435,1.69,8.242,2.662,2.865
2026-07-19,-23.6,-46.3,18.936,0.634,70.788,15.595,15.566,2.361,2.51,7.969,3.337,2.99
2026-07-19,-23.5,-46.8,19.127,1.027,70.614,14.983,15.688,2.633,3.185,9.19,3.937,3.101
2026-07-19,-23.5,-46.7,19.352,0.977,69.73,14.973,15.46,2.67,3.038,9.447,3.916,3.177
2026-07-19,-23.5,-46.6,19.297,0.974,69.69,14.966,15.334,2.665,3.038,9.582,3.915,3.072
2026-07-19,-23.5,-46.4,19.542,0.262,67.471,16.134,14.976,2.587,1.461,9.474,2.454,2.588
2026-07-19,-23.5,-46.3,19.602,0.147,67.257,16.349,14.95,2.512,0.905,8.981,2.027,2.605
2026-07-19,-23.4,-46.8,18.81,1.023,71.834,14.852,15.934,2.435,3.185,8.072,3.967,3.14
2026-07-19,-23.4,-46.7,18.857,0.938,71.56,14.786,16.024,2.499,3.006,8.085,3.973,3.175
2026-07-19,-23.4,-46.6,18.861,0.98,71.603,14.832,16.063,2.434,3.156,8.046,3.965,3.185
2026-07-19,-23.4,-46.5,18.864,0.91,71.733,14.91,16.109,2.392,3.037,7.841,3.874,3.121
2026-07-19,-23.4,-46.4,18.887,0.994,71.465,14.929,15.866,2.433,3.166,8.299,3.95,3.118
2026-07-20,-23.8,-46.8,18.503,1.909,75.142,15.164,15.121,2.502,3.606,11.357,4.068,2.656
2026-07-20,-23.8,-46.7,18.209,2.499,76.428,14.556,15.209,2.594,4.137,11.911,4.362,2.575
2026-07-20,-23.8,-46.6,17.76,3.428,78.807,14.136,14.797,2.608,5.1,11.714,4.697,2.564
2026-07-20,-23.8,-46.5,17.724,3.374,78.547,14.193,14.738,2.585,5.118,11.861,4.869,2.478
2026-07-20,-23.7,-46.8,19.5,1.032,70.537,16.129,14.92,2.459,2.943,10.545,3.382,3.305
2026-07-20,-23.7,-46.5,17.723,2.96,78.507,14.467,14.731,2.53,4.621,11.284,4.653,2.289
2026-07-20,-23.7,-46.4,17.667,3.036,78.519,14.407,14.888,2.507,4.742,11.219,4.743,2.528
2026-07-20,-23.6,-46.8,20.019,0.575,68.224,16.453,14.736,2.421,1.818,9.898,3.366,3.621
2026-07-20,-23.6,-46.4,19.35,0.167,68.378,16.176,15.409,2.353,0.591,8.663,2.06,2.79
2026-07-20,-23.6,-46.3,18.846,0.978,72.046,15.848,15.17,2.375,2.652,9.531,3.268,2.547
2026-07-20,-23.5,-46.8,19.713,0.755,69.446,16.174,14.765,2.336,2.118,10.005,3.353,3.351
2026-07-20,-23.5,-46.7,20.102,0.561,67.931,16.521,14.517,2.345,1.775,9.697,3.327,3.423
2026-07-20,-23.5,-46.6,20.079,0.615,67.724,16.42,14.415,2.357,1.884,10.042,3.388,3.269
2026-07-20,-23.5,-46.4,20.042,0.148,65.602,16.263,15.113,2.413,0.586,9.449,2.133,2.885
2026-07-20,-23.5,-46.3,19.864,0.106,66.199,16.41,15.284,2.375,0.519,8.784,1.909,2.84
2026-07-20,-23.4,-46.8,18.624,2.227,74.557,15.058,14.957,2.524,4.276,11.161,4.168,2.728
2026-07-20,-23.4,-46.7,18.552,2.22,74.753,14.835,15.064,2.472,4.047,11.23,4.315,2.868
2026-07-20,-23.4,-46.6,18.564,2.161,74.689,14.905,14.969,2.443,3.981,11.076,4.324,2.783
2026-07-20,-23.4,-46.5,18.938,1.474,73.152,15.825,15.006,2.343,3.506,9.994,3.769,2.941
2026-07-20,-23.4,-46.4,19.158,1.052,71.519,16.18,14.83,2.301,3.077,9.63,3.547,2.974
2026-07-21,-23.8,-46.8,17.944,2.313,77.758,15.012,14.351,2.302,3.97,10.446,4.027,2.166
2026-07-21,-23.8,-46.7,17.567,2.852,79.333,14.285,14.546,2.389,4.227,11.153,4.14,2.139
2026-07-21,-23.8,-46.6,16.839,3.01,81.971,14.302,14.125,2.668,4.271,10.342,4.178,2.767
2026-07-21,-23.8,-46.5,16.836,2.984,82.002,14.315,14.119,2.671,4.228,10.407,4.182,2.755
