data,latitude,longitude,temperatura_c,precipitacao_mm,umidade_pct,radiacao_mj_m2,vento_kmh,variaveis_reais
2025-07-19,-23.8,-46.8,12.5,0.0,79.0,15.84,10.1,5
2025-07-20,-23.8,-46.8,13.6,0.0,85.0,12.64,12.9,5
2025-07-21,-23.8,-46.8,14.9,0.0,87.0,14.88,11.6,5
2025-07-22,-23.8,-46.8,16.0,0.0,79.0,15.38,15.8,5
2025-07-23,-23.8,-46.8,13.9,0.0,78.0,16.56,13.2,5
2025-07-24,-23.8,-46.8,15.0,0.4,88.0,11.29,13.7,5
2025-07-25,-23.8,-46.8,15.1,1.3,89.0,4.58,7.5,5
2025-07-26,-23.8,-46.8,16.2,0.0,80.0,15.66,7.1,5
2025-07-27,-23.8,-46.8,17.7,0.0,68.0,16.92,18.7,5
2025-07-28,-23.8,-46.8,18.9,1.3,70.0,10.48,38.0,5
2025-07-29,-23.8,-46.8,12.7,0.0,64.0,18.46,15.1,5
2025-07-30,-23.8,-46.8,10.0,0.0,78.0,15.88,11.5,5
2025-07-31,-23.8,-46.8,11.2,0.0,82.0,17.55,11.5,5
2025-08-01,-23.8,-46.8,14.2,0.0,77.0,18.04,9.2,5
2025-08-02,-23.8,-46.8,15.9,0.0,67.0,16.16,9.8,5
2025-08-03,-23.8,-46.8,15.7,0.0,61.0,17.0,15.1,5
2025-08-04,-23.8,-46.8,15.4,0.0,71.0,10.66,12.3,5
2025-08-05,-23.8,-46.8,14.6,0.9,89.0,8.19,15.2,5
2025-08-06,-23.8,-46.8,13.8,7.3,93.0,10.98,17.3,5
2025-08-07,-23.8,-46.8,15.6,0.0,83.0,15.66,8.9,5
2025-08-08,-23.8,-46.8,15.7,2.8,84.0,11.92,23.1,5
2025-08-09,-23.8,-46.8,12.8,0.3,78.0,11.68,16.8,5
2025-08-10,-23.8,-46.8,10.4,0.1,81.0,9.55,13.9,5
2025-08-11,-23.8,-46.8,10.5,0.0,82.0,15.85,13.1,5
2025-08-12,-23.8,-46.8,11.7,0.0,81.0,18.19,13.1,5
2025-08-13,-23.8,-46.8,13.9,0.0,70.0,20.07,10.6,5
2025-08-14,-23.8,-46.8,12.7,0.0,78.0,16.37,14.6,5
2025-08-15,-23.8,-46.8,13.8,0.4,84.0,15.33,14.5,5
2025-08-16,-23.8,-46.8,15.0,0.0,86.0,12.84,12.3,5
2025-08-17,-23.8,-46.8,16.3,0.0,85.0,16.19,11.6,5
2025-08-18,-23.8,-46.8,14.6,0.0,83.0,16.81,14.4,5
2025-08-19,-23.8,-46.8,16.7,0.0,80.0,14.17,13.4,5
2025-08-20,-23.8,-46.8,19.3,0.0,67.0,13.38,17.9,5
2025-08-21,-23.8,-46.8,20.1,0.7,71.0,17.28,12.9,5
2025-08-22,-23.8,-46.8,21.4,0.0,63.0,19.57,14.2,5
2025-08-23,-23.8,-46.8,22.2,0.0,46.0,18.52,18.4,5
2025-08-24,-23.8,-46.8,15.5,0.2,86.0,13.31,16.5,5
2025-08-25,-23.8,-46.8,16.3,0.0,86.0,15.8,14.1,5
2025-08-26,-23.8,-46.8,15.5,0.0,89.0,10.25,14.1,5
2025-08-27,-23.8,-46.8,16.5,2.5,88.0,13.49,12.3,5
2025-08-28,-23.8,-46.8,16.9,0.2,85.0,16.6,14.6,5
2025-08-29,-23.8,-46.8,15.7,2.3,91.0,7.95,14.0,5
2025-08-30,-23.8,-46.8,17.0,0.2,84.0,17.38,14.1,5
2025-08-31,-23.8,-46.8,16.9,0.0,81.0,18.04,15.2,5
2025-09-01,-23.8,-46.8,17.7,0.3,84.0,17.45,15.1,5
2025-09-02,-23.8,-46.8,18.8,0.0,81.0,18.96,13.1,5
2025-09-03,-23.8,-46.8,19.4,0.0,73.0,21.43,12.4,5
2025-09-04,-23.8,-46.8,19.5,0.0,60.0,19.36,11.4,5
2025-09-05,-23.8,-46.8,18.1,0.0,75.0,18.21,19.3,5
2025-09-06,-23.8,-46.8,14.4,0.2,92.0,10.42,17.9,5
2025-09-07,-23.8,-46.8,15.6,0.3,90.0,11.26,14.2,5
2025-09-08,-23.8,-46.8,19.7,0.0,80.0,17.83,12.2,5
2025-09-09,-23.8,-46.8,20.7,0.1,60.0,13.54,30.9,5
2025-09-10,-23.8,-46.8,16.7,0.0,79.0,23.18,13.9,5
2025-09-11,-23.8,-46.8,17.1,0.0,75.0,23.91,12.0,5
2025-09-12,-23.8,-46.8,15.0,0.2,81.0,16.86,13.7,5
2025-09-13,-23.8,-46.8,15.3,0.0,80.0,14.6,16.6,5
2025-09-14,-23.8,-46.8,16.2,0.1,81.0,20.15,17.0,5
2025-09-15,-23.8,-46.8,17.4,0.0,83.0,21.77,16.0,5
2025-09-16,-23.8,-46.8,17.6,14.4,89.0,10.2,11.7,5
2025-09-17,-23.8,-46.8,16.9,0.3,83.0,20.06,17.1,5
2025-09-18,-23.8,-46.8,17.0,0.3,84.0,21.57,13.7,5
2025-09-19,-23.8,-46.8,19.6,0.0,79.0,18.51,14.5,5
2025-09-20,-23.8,-46.8,21.5,0.0,71.0,22.33,15.9,5
2025-09-21,-23.8,-46.8,23.7,0.6,62.0,19.23,24.2,5
2025-09-22,-23.8,-46.8,20.3,3.1,85.0,3.43,30.0,5
2025-09-23,-23.8,-46.8,14.8,1.6,86.0,13.13,17.2,5
2025-09-24,-23.8,-46.8,14.8,1.1,88.0,8.57,18.8,5
2025-09-25,-23.8,-46.8,13.6,0.8,88.0,7.97,20.4,5
2025-09-26,-23.8,-46.8,13.5,1.1,82.0,18.27,20.7,5
2025-09-27,-23.8,-46.8,14.5,0.0,78.0,24.5,14.7,5
2025-09-28,-23.8,-46.8,17.1,0.0,78.0,19.88,14.6,5
2025-09-29,-23.8,-46.8,19.3,0.0,76.0,24.91,12.6,5
2025-09-30,-23.8,-46.8,20.4,0.0,69.0,24.25,12.6,5
2025-10-01,-23.8,-46.8,18.5,0.0,86.0,16.83,18.2,5
2025-10-02,-23.8,-46.8,18.0,0.1,88.0,12.14,13.7,5
2025-10-03,-23.8,-46.8,19.0,1.1,86.0,16.91,14.4,5
2025-10-04,-23.8,-46.8,18.2,5.3,87.0,9.64,15.7,5
2025-10-05,-23.8,-46.8,22.4,0.0,66.0,25.92,11.9,5
2025-10-06,-23.8,-46.8,23.9,0.0,59.0,21.93,16.3,5
2025-10-07,-23.8,-46.8,16.6,1.5,93.0,11.39,20.7,5
2025-10-08,-23.8,-46.8,14.4,5.6,90.0,7.79,18.5,5
2025-10-09,-23.8,-46.8,15.1,6.1,87.0,10.79,17.3,5
2025-10-10,-23.8,-46.8,16.0,11.9,94.0,7.91,13.8,5
2025-10-11,-23.8,-46.8,17.3,3.1,89.0,17.36,9.5,5
2025-10-12,-23.8,-46.8,20.6,1.5,77.0,18.79,16.7,5
2025-10-13,-23.8,-46.8,19.8,3.8,84.0,9.58,23.9,5
2025-10-14,-23.8,-46.8,19.2,0.0,82.0,20.29,16.9,5
2025-10-15,-23.8,-46.8,17.5,0.0,84.0,18.7,14.1,5
2025-10-16,-23.8,-46.8,19.4,0.0,83.0,23.43,16.5,5
2025-10-17,-23.8,-46.8,21.5,6.0,77.0,22.98,10.3,5
2025-10-18,-23.8,-46.8,18.4,28.8,96.0,6.8,33.4,5
2025-10-19,-23.8,-46.8,12.8,6.7,92.0,13.37,35.9,5
2025-10-20,-23.8,-46.8,12.9,0.4,78.0,21.53,20.1,5
2025-10-21,-23.8,-46.8,13.6,0.1,76.0,28.05,18.7,5
2025-10-22,-23.8,-46.8,14.6,0.0,77.0,28.98,16.2,5
2025-10-23,-23.8,-46.8,15.3,0.0,79.0,29.71,15.5,5
2025-10-24,-23.8,-46.8,16.7,0.0,74.0,28.69,13.6,5
2025-10-25,-23.8,-46.8,19.7,0.0,68.0,27.11,13.1,5
2025-10-26,-23.8,-46.8,21.2,0.0,69.0,23.45,11.2,5
2025-10-27,-23.8,-46.8,17.8,6.1,94.0,6.26,10.1,5
2025-10-28,-23.8,-46.8,18.4,9.7,93.0,5.32,11.3,5
2025-10-29,-23.8,-46.8,19.5,11.8,89.0,15.31,20.3,5
2025-10-30,-23.8,-46.8,15.6,8.2,90.0,9.03,15.9,5
2025-10-31,-23.8,-46.8,16.4,5.3,91.0,9.34,12.2,5
2025-11-01,-23.8,-46.8,19.6,1.1,84.0,20.34,11.6,5
2025-11-02,-23.8,-46.8,18.1,20.0,96.0,5.1,20.3,5
2025-11-03,-23.8,-46.8,19.7,25.2,88.0,16.35,18.9,5
2025-11-04,-23.8,-46.8,20.1,2.2,88.0,18.54,13.6,5
2025-11-05,-23.8,-46.8,22.1,0.4,82.0,16.57,24.5,5
2025-11-06,-23.8,-46.8,16.6,1.1,87.0,12.64,17.5,5
2025-11-07,-23.8,-46.8,18.3,0.2,81.0,23.18,14.4,5
2025-11-08,-23.8,-46.8,20.7,4.2,81.0,11.63,32.2,5
2025-11-09,-23.8,-46.8,15.5,1.6,85.0,16.3,17.6,5
2025-11-10,-23.8,-46.8,15.2,0.1,77.0,26.98,15.2,5
2025-11-11,-23.8,-46.8,16.2,0.0,77.0,29.49,14.8,5
2025-11-12,-23.8,-46.8,19.0,0.2,77.0,29.16,15.1,5
2025-11-13,-23.8,-46.8,19.5,4.0,83.0,14.03,10.0,5
2025-11-14,-23.8,-46.8,17.8,7.4,89.0,15.84,14.7,5
2025-11-15,-23.8,-46.8,18.7,0.3,83.0,16.75,13.5,5
